,text,hour,day,month,dayofweek,hashtags,hashtag_counts,user_counts,url_counts
23,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
24,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
25,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
26,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
27, we love watching our Raptors.,23,14,9,0,[],0,1,0
28,60am: . &amp;  speak to Tina Ricci Zulli about money and relationships.  talks how to manage de…,23,14,9,0,[],0,3,0
29,Hopefully Giannis finds a way to stay in Milwaukee with the Bucks. The worst thing would be to leave and come to… ,23,14,9,0,"['#Giannis', '#Milwaukee', '#Bucks.']",3,0,1
30,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
31,: Damn. Sucks that it’s over. Heads high. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
32,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
33,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
34,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
35,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
36,: There's been a lot of vitriol directed toward Pascal Siakam over the past little while. He certainly did not play well ag…,23,14,9,0,[],0,1,0
37,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",23,14,9,0,[],0,2,0
38,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
39,"  This season was amazing to watch, love this team. Go Raps!",23,14,9,0,[],0,2,0
40,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
41,"📈 Trending at COMPLEX
How the Raptors Can Be NBA Title Contenders for Years to Come

By Vi… ",23,14,9,0,[],0,0,2
42, I mean raptors being small helped,23,14,9,0,[],0,1,0
43,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",23,14,9,0,[],0,2,0
44,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
45," 7 Thank you, Greatest Raptor.",23,14,9,0,[],0,2,0
46,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
47,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
48,Thank you 7 43     2404  and the rest… ,23,14,9,0,[],0,8,1
49,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,23,14,9,0,[],0,3,0
50,"To the jackass “fans” who are lobbying against 43 you are not a  fan! Win, lose or draw WeTheNorth PascalLoveProject",23,14,9,0,"['#WeTheNorth', '#PascalLoveProject']",2,2,0
51,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
52,": A season to remember. 

Full Scrums | ",23,14,9,0,[],0,1,2
53,"1050: This isn't the first roadblock that Pascal Siakam has faced, even if it feels like his biggest. Not only has he overcome each…",23,14,9,0,[],0,1,0
54,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
55,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",23,14,9,0,[],0,2,0
56,  Thank you. Stay...,23,14,9,0,[],0,2,0
57,": I miss the . 
WeTheNorth",23,14,9,0,['#WeTheNorth'],1,2,0
58,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
59,Just heard _An34 followed Masai Ujiri and the  on Instagram (the content of this tweet may or may not be true 😂) wethenorth,23,14,9,0,['#wethenorth'],1,2,0
60, 43 Thank you Pascal. Learn the lessons of 2020 and let that fuel your 2021. Stay hungry for 🏆,23,14,9,0,[],0,2,0
61,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
62,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
63,"This isn't the first roadblock that Pascal Siakam has faced, even if it feels like his biggest. Not only has he ove… ",23,14,9,0,[],0,0,1
64,"I miss the . 
WeTheNorth",23,14,9,0,['#WeTheNorth'],1,1,0
65,1050: The 2019-20 Toronto Raptors brought a lot of people a lot of joy when they needed it most. A fun team that defended the title…,23,14,9,0,[],0,1,0
66,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",23,14,9,0,[],0,2,0
67," Please Allah, you let the Rockets beat the Thunder and the Celtics beat the Raptors, give Canada something.",23,14,9,0,[],0,1,0
68,: All the feels,23,14,9,0,[],0,1,0
69,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
70,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
71,  Me too! :( Can't wait for next season!,23,14,9,0,[],0,2,0
72,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
73, Than you for defending Larry OB with all that you got. Come back stronger in 2021. Cheering you on.,23,14,9,0,[],0,1,0
74,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
75,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
76,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",23,14,9,0,[],0,2,0
77,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
78,: ICYMI: It Was A Fun Ride: Reflections on our playoff elimination and the Raptors season as a whole WeTheNorth RTZ NBA…,23,14,9,0,"['#Raptors', '#WeTheNorth', '#RTZ', '#NBA…']",4,1,0
79,"Who is really to blame for the  loss last Friday... Toronto TO
 
",23,14,9,0,"['#Toronto', '#TO']",2,1,1
80,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
81,. &amp;  speak to Tina Ricci Zulli about money and relationships.  talks how to m… ,23,14,9,0,[],0,2,1
82,All the feels ,23,14,9,0,[],0,0,1
83, now that the  season is officially over can we get a recap of the  season so far? I'm going in blind.,23,14,9,0,[],0,3,0
84,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
85,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
86,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",23,14,9,0,[],0,2,0
87,": Game 7 of Celtics-Raptors drew 4.69 million viewers on TNT, second largest audience of 2020 NBA Restart behind Game 2 o…",23,14,9,0,[],0,1,0
88,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
89,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
90,We love you 43 ,23,14,9,0,[],0,2,0
91,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
92,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
93,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
94, Good luck with football Bruce. Who do u think wants u as a Raptors fan anyway!!????🤣,23,14,9,0,[],0,1,0
95,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",23,14,9,0,[],0,2,0
96, Will ALWAYS be proud of u GUYS!!! ALWAYS!!!🏀🏀🏀,23,14,9,0,[],0,1,0
97,56  You got sources to back that shit up? Cause ik for a fact Raptors have been donating to a… ,22,14,9,0,[],0,2,1
98,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
99,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
100, Thank you!! ❤️💜🖤🙏🏻🤗🏀🇨🇦,22,14,9,0,[],0,1,0
101,  should leave the bubble blasting “Greece” by ,22,14,9,0,[],0,3,0
102, The bubble is not favoring teams whose game 7 is at home. Clippers vd Nuggets game 7 in LA who is winni… ,22,14,9,0,[],0,1,1
103,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
104,": Friday’s Toronto Raptors vs Boston Celtics Game 7 drew an average audience of 2.65M (TSN/RDS), the highest average of any…",22,14,9,0,[],0,1,0
105,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,22,14,9,0,[],0,3,0
106,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
107,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,22,14,9,0,[],0,3,0
108,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
109,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
110,"I’ve crunched the numbers, and i’m prepared to give a shit about football for the first time in my life in order to… ",22,14,9,0,[],0,0,1
111,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
112,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
113,": Anyways, I was upset about the  season ending, so I did a thing since 7 continues to give his heart to this…",22,14,9,0,[],0,3,0
114,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
115,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
116, We LOVE this team! They are a special group of guys and we value each and everyone one on and supporting the team. WeTheNorth,22,14,9,0,['#WeTheNorth'],1,1,0
117,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
118,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
119,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
120,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
121,"h/t to _doo for helping connect me with  and 4.

We could all use a bit more kindness… ",22,14,9,0,[],0,3,1
122,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,22,14,9,0,[],0,3,0
123,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
124,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,22,14,9,0,[],0,3,0
125,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
126,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
127,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
128,I honestly don’t know what the  should do. Is serge worth a 3 year deal at big money?  Is FVV a 20+ million… ,22,14,9,0,[],0,1,1
129,  Raptors rn ,22,14,9,0,[],0,2,1
130," As a Raptors fan, i would like to request to please beat the Miami Heat. Thank you.",22,14,9,0,[],0,1,0
131,"To all NBA stars who haven't won a championship yet, I suggest you do what Kawhi did last year, just join the Toron… ",22,14,9,0,[],0,0,1
132,: None of that ,22,14,9,0,[],0,1,1
133,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
134,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
135,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
136,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
137,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
138,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
139,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
140,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,22,14,9,0,[],0,3,0
141,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
142,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
143,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
144,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
145,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
146,Hey there 43! Thank you for representing Toronto alongside the rest of the  in the bubble. That las… ,22,14,9,0,[],0,2,1
147,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
148, I miss u already 😢,22,14,9,0,[],0,1,0
149,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
150,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
151,Thanks for an amazing season  ,22,14,9,0,[],0,1,1
152,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,22,14,9,0,[],0,3,0
153,"Before we emotionally leave this mfer, to paraphrase Kyle Lowry, a look back at season 25 for the Raptors, by far t… ",22,14,9,0,[],0,0,1
154," The Raptors used different zones to some success against the Cs. Outside of the blowouts, Boston was hel… ",22,14,9,0,[],0,1,1
155,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,22,14,9,0,[],0,3,0
156,1050 _Sports How do the East Conf semis round two game 7 ratings compare? Interesting to see growth of the… ,22,14,9,0,[],0,2,1
157,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
158,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
159,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,22,14,9,0,[],0,3,0
160,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
161,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
162,": TORONTO STAR
‘The hate is not helpful.’ Raptors fans come together in defence of Siakam with PascalLoveProject

By Braydo…",22,14,9,0,['#PascalLoveProject'],1,1,0
163,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,22,14,9,0,[],0,3,0
164,Game Over: A look at the longest season in Raptors' history ,22,14,9,0,[],0,0,2
165,17% of Canadians watched the last Raptors game of the season ... TELL ME AGAIN HOW WE ARE ONLY A HOCKEY NATION ,22,14,9,0,[],0,0,1
166,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
167,": Some of my favourite work this season (Yes, I am available for hire) (2/2):

",22,14,9,0,[],0,1,2
168,"  Something about the road to hell...

Toronto says hi back, we’re hurting right now becau… ",22,14,9,0,[],0,2,1
169,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
170,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
171,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
172,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
173,7   fuck is you even saying. the 2001 sixers has the DPOY 6moty and COTY lmao. he beat… ,22,14,9,0,[],0,3,1
174,"It's like reading a scrapbook!  I'll miss this team!!!

Game Over: A look at the longest season in Raptors' history… ",22,14,9,0,[],0,0,1
175, I enjoyed every sec of  game! WeTheNorth,22,14,9,0,['#WeTheNorth'],1,2,0
176,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
177,"  don’t start attacking my city bud, sports is one thing what my city does is another",22,14,9,0,[],0,2,0
178,": Game 7 of Celtics-Raptors drew 4.69 million viewers on TNT, second largest audience of 2020 NBA Restart behind Game 2 o…",22,14,9,0,[],0,1,0
179,": Anyways, I was upset about the  season ending, so I did a thing since 7 continues to give his heart to this…",22,14,9,0,[],0,3,0
180,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
181,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
182,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
183,": Game 7 of Celtics-Raptors drew 4.69 million viewers on TNT, second largest audience of 2020 NBA Restart behind Game 2 o…",22,14,9,0,[],0,1,0
184,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
185,"1050: Up next:  on Raptors disappointing game 7 loss, Pascal Siakam's struggles in the bubble and more.

Listen: htt…",22,14,9,0,[],0,2,0
186,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
187,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
188,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
189,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
190,One thing I looked forward to during quarantine was watching the Raptors play again. Thank you for an amazing seaso… ,22,14,9,0,[],0,0,1
191,: Raptor fans  and 4 are putting together a Thank You package for the  and particularly …,22,14,9,0,['#Raptor'],1,5,0
192,I rewatched last year’s Toronto vs. Philly game 7 today in the hopes it would cure my  depression. Happy to… ,22,14,9,0,[],0,1,1
193,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
194,": It's officially the offseason for the Toronto Raptors. 

 sets it up with a look at the key decisions, da…",22,14,9,0,[],0,2,0
195,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
196,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
197,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
198,": “I already miss this team”

A look back at a memorable season

 📰 » ",22,14,9,0,[],0,2,2
199,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",22,14,9,0,[],0,2,0
200, Thank you for an amazing season under difficult circumstances ❤️🇨🇦WeTheNorth,22,14,9,0,[],0,1,0
201,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
202,  That’s right. And English is one of them!,22,14,9,0,[],0,2,0
203,2002:   I miss you too !,22,14,9,0,[],0,3,0
204,: We felt the love. WeTheNorth ,22,14,9,0,['#WeTheNorth'],1,1,1
205,  25  Awesome video! 😀,21,14,9,0,[],0,4,0
206,_meels  @384jeff  I finally figured out why it was so maddening to watch the boycotts a… ,21,14,9,0,[],0,4,1
207,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",21,14,9,0,[],0,2,0
208,: We felt the love. WeTheNorth ,21,14,9,0,['#WeTheNorth'],1,1,1
209,: Raptor fans  and 4 are putting together a Thank You package for the  and particularly …,21,14,9,0,['#Raptor'],1,5,0
210,: Raptor fans  and 4 are putting together a Thank You package for the  and particularly …,21,14,9,0,['#Raptor'],1,5,0
211,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,21,14,9,0,[],0,3,0
212,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
213,  I miss you too !,21,14,9,0,[],0,2,0
214,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
215, _gurnawaz @305SportsNet  And now that the Raptors are out only the gamblers will be wa… ,21,14,9,0,[],0,4,1
216,Unfortunately the defending champs - our  - couldn’t pull off the game 7 win on Friday against the … ,21,14,9,0,[],0,2,1
217,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
218,: i'm really glad people are calling out the toxicity on Raptors twitter. It feels like it's gotten worse in the like the…,21,14,9,0,['#Raptors'],1,1,0
219,: We felt the love. WeTheNorth ,21,14,9,0,['#WeTheNorth'],1,1,1
220,"_gurnawaz @305SportsNet  Trust me, I dont know 1 person still watching hockey unless they're gam… ",21,14,9,0,[],0,3,1
221,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
222,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
223,": Game 7 of Celtics-Raptors drew 4.69 million viewers on TNT, second largest audience of 2020 NBA Restart behind Game 2 o…",21,14,9,0,[],0,1,0
224,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
225,"_is_short5 43  Great message Harris thank you, Toronto we are better than this now let’s show 43 some love ❤️",21,14,9,0,['#Toronto'],1,4,0
226,": Anyways, I was upset about the  season ending, so I did a thing since 7 continues to give his heart to this…",21,14,9,0,[],0,3,0
227,": Game 7 of Celtics-Raptors drew 4.69 million viewers on TNT, second largest audience of 2020 NBA Restart behind Game 2 o…",21,14,9,0,[],0,1,0
228,": Game 7 of Celtics-Raptors drew 4.69 million viewers on TNT, second largest audience of 2020 NBA Restart behind Game 2 o…",21,14,9,0,[],0,1,0
229,": Game 7 of Celtics-Raptors drew 4.69 million viewers on TNT, second largest audience of 2020 NBA Restart behind Game 2 o…",21,14,9,0,[],0,1,0
230,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",21,14,9,0,[],0,2,0
231,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
232,  It’s on Kawhi because he chose these bums over the Raptors. Easy repeat if he stays 🤷‍♂️,21,14,9,0,[],0,2,0
233,"  This is the best example of systemic racism. 
Good for Masai, he can afford to sue them.… ",21,14,9,0,[],0,2,1
234,12 Butler? Adebayo? Brown? Kemba better step up; he looked crap in the Raptors series.,21,14,9,0,[],0,1,0
235,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",21,14,9,0,[],0,2,0
236,": Game 7 of Celtics-Raptors drew 4.69 million viewers on TNT, second largest audience of 2020 NBA Restart behind Game 2 o…",21,14,9,0,[],0,1,0
237,  this makes me wonder how deep fried raptors would've tasted. I bet its all dark meat. hmm.,21,14,9,0,[],0,2,0
238,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",21,14,9,0,[],0,2,0
239,"Game 7 of Celtics-Raptors drew 4.69 million viewers on TNT, second largest audience of 2020 NBA Restart behind Game… ",21,14,9,0,[],0,0,1
240,: We felt the love. WeTheNorth ,21,14,9,0,['#WeTheNorth'],1,1,1
241,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,21,14,9,0,[],0,3,0
242,": Anyways, I was upset about the  season ending, so I did a thing since 7 continues to give his heart to this…",21,14,9,0,[],0,3,0
243,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
244,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",21,14,9,0,[],0,2,0
245,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",21,14,9,0,[],0,2,0
246,: We felt the love. WeTheNorth ,21,14,9,0,['#WeTheNorth'],1,1,1
247,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
248,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",21,14,9,0,[],0,2,0
249,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",21,14,9,0,[],0,2,0
250,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",21,14,9,0,[],0,2,0
251,1fuhlife 35 (And “Road” team winning every game in Raptors-Celtics),21,14,9,0,[],0,2,0
252,: We felt the love. WeTheNorth ,21,14,9,0,['#WeTheNorth'],1,1,1
253,i'm really glad people are calling out the toxicity on Raptors twitter. It feels like it's gotten worse in the lik… ,21,14,9,0,['#Raptors'],1,0,1
254,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",21,14,9,0,[],0,2,0
255,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
256,Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For ref… ,21,14,9,0,[],0,1,1
257,: We felt the love. WeTheNorth ,21,14,9,0,['#WeTheNorth'],1,1,1
258,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
259,: We felt the love. WeTheNorth ,21,14,9,0,['#WeTheNorth'],1,1,1
260,: We felt the love. WeTheNorth ,21,14,9,0,['#WeTheNorth'],1,1,1
261,": “I already miss this team”

A look back at a memorable season

 📰 » ",21,14,9,0,[],0,2,2
262,": Raptors review, Siakam ceiling questions &amp; the potential for a tricky offseason w/

How coach David Fizdale wo…",21,14,9,0,[],0,1,0
263,: We felt the love. WeTheNorth ,21,14,9,0,['#WeTheNorth'],1,1,1
264,_lebron: if the clippers lose game 7 kawhi is just gonna show up to raptors training camp next season like this year didn’t happen,21,14,9,0,[],0,1,0
